AGNO,RBD,DGV_RBD,NOM_RBD,TIPO_SOST,COD_REG_RB,NOM_REG_RB,COD_PRO_RB,COD_COM_RB,NOM_COM_RB,COD_DEPROV,NOM_DEPROV,TIPO_DEPEN,DIRECCION,NUMERO,REFERENCIA,LATITUD,LONGITUD,MAT_PARV,MAT_BAS_RE,MAT_BAS_AD,MAT_ESP,MAT_MHC_RE,MAT_MHC_AD,MAT_MTP_RE,MAT_MTP_AD,MAT_TOTAL,MAT_HOM_TO,MAT_MUJ_TO,MAT_SI_TOT,CUR_SIM_TO,CUR_COMB_T
2021,1666,7,C.E.I.A. LOS CASTANOS,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,1.0,LOS CASTANOS,225.0,ENTRE 3 Y 4 NORTE BORDEANDO EL SPORTING CLUB EN AVENIDA LOS CASTAÑOS HACIA SAUSALITO,-33.021427,-71.541687,0.0,0.0,40.0,0.0,0.0,148.0,0.0,0.0,188.0,91.0,97.0,0.0,8.0,0.0
2021,1844,9,COLEGIO FRANCO INGLES,9.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,3.0,SAN PABLO DE LA CRUZ,401.0,"SECTOR: AGUA SANTA, ESQUINA CALLE MERCED.",-33.021425,-71.5498,4.0,114.0,0.0,0.0,49.0,0.0,0.0,0.0,167.0,92.0,75.0,0.0,13.0,0.0
2021,14941,1,ESCUELA ESPECIAL DE LENGUAJE CARIÑOSITOS,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,CORCOLEN,3741.0,MIRAFLORES ALTO,-33.021214,-71.51113,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,41.0,27.0,14.0,0.0,4.0,0.0
2021,31444,7,COLEGIO RUKA NEWEN,1.0,5,VALPO,58,5802,LIMACHE,51,QUILLOTA,2.0,SAN ALFONSO,1000.0,CAMINO A LA DORMIDA,-33.021072,-71.26515,0.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,28.0,26.0,2.0,0.0,7.0,0.0
2021,16896,3,ENGLISH COLLEGE,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,3.0,UNO PONIENTE,171.0,"ENTRE DOS Y TRES NORTE, POBLACION VERGARA",-33.020663,-71.55274,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2021,1684,5,ESCUELA LIBERTADOR BERNARDO O^HIGGINS,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,1.0,ALBERTO BLEST GANA,360.0,"A DOS CUADRAS DE LA ESTACION DE METRO DE VIÑA DEL MAR EN DIRECCION A EL HOSPITAL GUSTAVO FRICKE POR LA  MANO DERECHA, SE ENCUENTRA LA CALLE ALBERTO BLEST GANA DOBLAR A LA DERECHA.",-33.02055,-71.549049,34.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,293.0,197.0,0.0,16.0,1.0
2021,1692,6,ESCUELA ARTURO PRAT CHACON,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,1.0,DEL MEMBRILLO,3230.0,AV. FREI ESQUINA DEL MEMBRILLO AL LADO DEL CONSULTORIO DE MIRAFLORES Y EL JARDIN INFANTIL RAYITO DE SOL,-33.019539,-71.515404,60.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,297.0,237.0,0.0,18.0,0.0
2021,40089,0,ESCUELA ESPECIAL DE LENGUAJE LOS ALMENDROS,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,AVENIDA LOS ALMENDROS,41.0,"PARADERO 12 ACHUPALLAS, INGRESANDO POR AV. LOS ALMENDROS 2 CUADRAS LADO IZQUIERDO",-33.019463,-71.50365,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,57.0,27.0,30.0,0.0,6.0,0.0
2021,1775,2,COLEGIO ARABE,0.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,3.0,AVENIDA LOS CASTAÑOS,351.0,,-33.019159,-71.54102,0.0,117.0,0.0,0.0,60.0,0.0,0.0,0.0,177.0,76.0,101.0,0.0,12.0,0.0
2021,14832,6,ESC.ESP.DE LENGUAJE DIVINA MISERICORDIA,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,CURIMON,245.0,PARADERO 10 ACHUPALLAS,-33.019104,-71.49411,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,93.0,54.0,39.0,0.0,7.0,0.0
2021,20388,2,COLEGIO HOSPITAL SALVADOR DE VALPARAISO,1.0,5,VALPO,51,5101,VALPARAÍSO,53,VALPARAÍSO,2.0,CALLE LEOPOLDO CARVALLO,200.0,"HOSPITAL DEL SALVADOR, PLAYA ANCHA",-33.01905,-71.640679,0.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,26.0,19.0,7.0,0.0,10.0,0.0
